"L","U","V"
80.2877399456027,-1.76091801314466,12.2401238129258
66.912884167093,14.7162694273389,9.33009453467757
73.3989638587193,7.59168348872625,3.65208181934216
67.6350641843231,85.4581352165575,27.4335659897098
64.4880791503392,11.6325952311411,19.5094172055407
58.3152054070811,-3.29985822730703,3.04316178860116
62.7592850781607,2.06458564514883,8.64211844944863
65.6309822969698,10.1898159464634,0.97393363157485
58.179745540886,13.7714487491139,15.7750230760965
59.1856846007853,11.485952906433,17.7739381150315
62.3139893868379,4.5957596464455,5.69569814665461
82.3225391100775,3.17572278988084,7.85791531104261
71.5351406929986,47.4916352802912,27.5394910743544
74.3190359559143,11.5297900220724,10.8007407613597
64.5812565988593,-14.222726188011,-18.6341010202942
76.0195889970434,12.0097793056361,7.48478862787003
56.1064711777416,17.3805337394961,17.9222887503689
63.8993806393885,-12.2051493085354,-0.383576807962083
72.2731119458638,-6.80738447125622,4.35657145115535
69.0203368290471,-2.10824008702381,20.7360725550434
77.0970063559883,24.7979456666253,16.5928113869078
61.7365134079769,0.280839449541192,-7.13838003648109
56.7222424701885,18.1287444110294,24.2163100213415
74.9937972809073,0.362148828809991,1.82945363301359
63.3738861203866,44.77805604098,6.75036724573613
56.5297400550473,11.4413825663008,11.2489890764861
48.4975783150076,37.3910482027029,16.4105755602647
66.6755234046849,0.0688746921842719,-1.28732925833543
71.2005620885332,54.3088117515504,34.1391616228833
72.3241270018415,6.43472843230732,13.7443005673598
66.3931562696462,16.8956804160586,17.849540781209
74.1960602219825,6.15070214276601,9.21458173261319
57.9458579614117,11.3317713325371,8.12517187002785
72.2400641835068,25.7751281975875,47.0550671707614
43.6726281307971,-2.18138556217189,15.3494240488974
65.1380253517449,3.85081395782575,13.0570909814276
62.7873109748356,-4.58516854912804,18.437284544554
71.4640968420417,4.7130372195343,11.7498846039805
50.7957877043187,10.564981793634,18.2847253235095
73.6543025783885,-0.720677914434363,-0.176065737639897
80.5394816362959,0.604169600832914,0.573804265583588
53.7001242969896,15.1228601357441,20.1594557208016
43.8849307548522,5.13739394780669,4.55573051732574
68.6393599571875,12.8786027148034,12.1010620346339
80.4758371769468,-12.6421174544493,-7.45919863151456
82.3284428124802,14.0122146193937,33.3032427167001
71.6561467982066,3.01552900114489,7.66482279295809
83.371540465419,-7.38710371458153,12.8406587483241
68.2422600687441,18.3046124455156,6.21999573300599
84.1088601453637,9.41023461763708,49.6089378344765
82.4180183480229,29.4505343972209,19.0706814321122
78.0466559213156,-0.586265964290588,6.85338302200901
61.7239100818294,-2.69798252282916,31.2386465440779
73.5061726638772,4.64590614547962,11.0119150732389